,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,IND,Andrew Luck\LuckAn00,QB,22,2018,0,3,5,59,59,80,1839,3051,21847,161,77,307,1503,14,0,0,0,6,,,Stanford,College Stats
1,2,WAS,Robert Griffin\GrifRo01,QB,22,2018,0,1,2,35,32,43,766,1210,8983,42,26,275,1670,10,0,0,0,2,,,Baylor,College Stats
1,3,CLE,Trent Richardson\RichTr00,RB,22,2014,0,0,3,17,7,46,0,0,0,0,0,614,2032,17,113,912,2,1,,,Alabama,College Stats
1,4,MIN,Matt Kalil\KaliMa00,T,23,2018,0,1,5,40,31,83,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats
1,5,JAX,Justin Blackmon\BlacJu00,WR,22,2014,0,0,1,9,9,20,0,0,0,0,0,3,22,0,93,1280,6,1,,,Oklahoma St.,College Stats
1,6,DAL,Morris Claiborne\ClaiMo00,DB,22,2018,0,0,4,20,14,72,0,0,0,0,0,0,0,0,0,0,0,183,7,,LSU,College Stats
1,7,TAM,Mark Barron\BarrMa00,DB,22,2018,0,0,5,29,10,99,0,0,0,0,0,0,0,0,0,0,0,462,8,8.0,Alabama,College Stats
1,8,MIA,Ryan Tannehill\TannRy00,QB,24,2018,0,0,6,50,50,82,1738,2766,19427,114,71,235,1156,6,2,5,0,5,,,Texas A&M,College Stats
1,9,CAR,Luke Kuechly\KuecLu00,LB,21,2018,4,5,7,73,73,96,0,0,0,0,0,0,0,0,0,0,0,591,16,12.5,Boston Col.,College Stats
1,10,BUF,Stephon Gilmore\GilmSt00,DB,21,2018,0,1,7,29,25,91,0,0,0,0,0,0,0,0,0,0,0,274,17,1.0,South Carolina,College Stats
1,11,KAN,Dontari Poe\PoexDo00,DT,22,2018,0,2,7,47,41,104,1,1,2,1,0,2,2,2,0,0,0,183,,15.5,Memphis,College Stats
1,12,PHI,Fletcher Cox\CoxxFl00,DT,21,2018,0,3,7,56,56,103,0,0,0,0,0,0,0,0,0,0,0,225,,38.0,Mississippi St.,College Stats
1,13,ARI,Michael Floyd\FloyMi00,WR,22,2018,0,0,2,27,26,96,0,0,0,0,0,1,2,0,260,3912,24,2,,,Notre Dame,College Stats
1,14,STL,Michael Brockers\BrocMi00,DT,21,2018,0,0,6,38,38,102,0,0,0,0,0,0,0,0,0,0,0,187,,20.0,LSU,College Stats
1,15,SEA,Bruce Irvin\IrviBr00,DE,24,2018,0,0,6,35,23,100,0,0,0,0,0,0,0,0,0,0,0,190,3,40.0,West Virginia,College Stats
1,16,NYJ,Quinton Coples\CoplQu00,DE,22,2015,0,0,2,19,19,62,0,0,0,0,0,0,0,0,0,0,0,75,,16.5,North Carolina,College Stats
1,17,CIN,Dre Kirkpatrick\KirkDr00,DB,22,2018,0,0,4,23,23,90,0,0,0,0,0,0,0,0,0,0,0,221,10,2.0,Alabama,College Stats
