,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,37,KAN,Chris Jones\JoneCh09,DT,22,2018,0,0,2,11,11,43,0,0,0,0,0,0,0,0,0,0,0,63,2,17.5,Mississippi St.,College Stats
2,38,MIA,Xavien Howard\HowaXa00,CB,23,2018,0,0,2,8,8,33,0,0,0,0,0,0,0,0,0,0,0,88,7,1.0,Baylor,College Stats
2,39,TAM,Noah Spence\SpenNo00,DE,22,2018,0,0,0,4,4,28,0,0,0,0,0,0,0,0,0,0,0,22,,6.5,East. Kentucky,College Stats
2,40,NYG,Sterling Shepard\ShepSt00,WR,23,2018,0,0,3,10,10,37,0,0,0,0,0,8,62,0,168,1987,13,,,,Oklahoma,College Stats
2,41,BUF,Reggie Ragland\RaglRe00,ILB,22,2018,0,0,1,5,,23,0,0,0,0,0,0,0,0,0,0,0,63,,0.5,Alabama,College Stats
2,42,BAL,Kamalei Correa\CorrKa00,DE,22,2018,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,19,,2.5,Boise St.,College Stats
2,43,TEN,Austin Johnson\JohnAu01,NT,22,2018,0,0,1,4,4,36,0,0,0,0,0,0,0,0,0,0,0,30,,2.5,Penn St.,College Stats
2,44,OAK,Jihad Ward\WardJi02,DE,22,2018,0,0,1,6,6,27,0,0,0,0,0,0,0,0,0,0,0,21,,4.0,Illinois,College Stats
2,45,TEN,Derrick Henry\HenrDe00,RB,22,2018,0,0,1,10,10,41,1,1,8,0,0,396,1638,14,32,327,1,,,,Alabama,College Stats
2,46,DET,A'Shawn Robinson\RobiAS00,DT,21,2018,0,0,1,11,11,40,0,0,0,0,0,0,0,0,0,0,0,77,1,2.5,Alabama,College Stats
2,47,NOR,Michael Thomas\ThomMi05,WR,23,2018,0,1,3,23,23,41,0,0,0,0,0,0,0,0,278,3424,22,,,,Ohio St.,College Stats
2,48,GNB,Jason Spriggs\SpriJa00,T,22,2018,0,0,0,6,6,32,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
2,49,SEA,Jarran Reed\ReedJa02,DT,23,2018,0,0,2,10,10,40,0,0,0,0,0,0,0,0,0,0,0,61,,8.5,Alabama,College Stats
2,50,HOU,Nick Martin\MartNi00,G,23,2018,0,0,2,6,6,24,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,51,NYJ,Christian Hackenberg\HackCh01,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats
2,52,ATL,Deion Jones\JoneDe01,OLB,21,2018,0,1,2,18,18,32,0,0,0,0,0,0,0,0,0,0,0,170,7,1.0,LSU,College Stats
2,53,WAS,Su'a Cravens\CravSu00,OLB,21,2018,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,27,1,1.0,USC,College Stats
2,54,MIN,Mackensie Alexander\AlexMa01,CB,22,2018,0,0,0,2,2,36,0,0,0,0,0,0,0,0,0,0,0,37,1,3.0,Clemson,College Stats
2,55,CIN,Tyler Boyd\BoydTy00,WR,21,2018,0,0,1,7,7,36,0,1,0,0,0,6,61,0,132,1584,8,,,,Pittsburgh,College Stats
2,56,CHI,Cody Whitehair\WhitCo03,G,24,2018,0,0,3,12,12,42,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats
