,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,DET,Matthew Stafford\StafMa00,QB,21,2018,0,1,9,85,85,135,3249,5218,37354,233,126,292,1013,14,2,-3,0,7,,,Georgia,College Stats
1,2,STL,Jason Smith\SmitJa22,T,23,2012,0,0,1,10,9,45,0,0,0,0,0,0,0,0,0,0,0,3,,,Baylor,College Stats
1,3,KAN,Tyson Jackson\JackTy98,DE,23,2016,0,0,6,35,24,122,0,0,0,0,0,0,0,0,0,0,0,165,,9.0,LSU,College Stats
1,4,SEA,Aaron Curry\CurrAa99,LB,23,2012,0,0,3,17,13,48,0,0,0,0,0,0,0,0,0,0,0,190,,5.5,Wake Forest,College Stats
1,5,NYJ,Mark Sanchez\SancMa00,QB,22,2016,0,0,5,34,27,77,1295,2285,15219,86,86,169,449,13,0,0,0,3,,,USC,College Stats
1,6,CIN,Andre Smith\SmitAn23,T,22,2018,0,0,6,42,41,106,0,0,0,0,0,0,0,0,0,0,0,7,,,Alabama,College Stats
1,7,OAK,Darrius Heyward-Bey\HeywDa00,WR,22,2018,0,0,5,22,16,138,0,0,0,0,0,14,201,2,202,2897,16,12,,,Maryland,College Stats
1,8,JAX,Eugene Monroe\MonrEu20,T,22,2015,0,0,6,33,23,93,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia,College Stats
1,9,GNB,B.J. Raji\RajiBJ99,DT,23,2015,0,1,5,33,33,91,0,0,0,0,0,1,1,1,0,0,0,104,,11.0,Boston Col.,College Stats
1,10,SFO,Michael Crabtree\CrabMi00,WR,21,2018,0,0,9,50,33,135,0,0,0,0,0,3,18,0,621,7349,53,6,,,Texas Tech,College Stats
1,11,BUF,Aaron Maybin\MaybAa99,DE,21,2012,0,0,0,5,2,48,0,0,0,0,0,0,0,0,0,0,0,25,,6.0,Penn St.,College Stats
1,12,DEN,Knowshon Moreno\MoreKn00,RB,22,2014,0,0,3,33,32,63,0,0,0,0,0,876,3616,27,158,1409,9,3,,,Georgia,College Stats
1,13,WAS,Brian Orakpo\OrakBr99,LB,23,2018,0,4,8,54,33,129,0,0,0,0,0,0,0,0,0,0,0,292,1,65.5,Texas,College Stats
1,14,NOR,Malcolm Jenkins\JenkMa99,DB,21,2018,0,2,9,52,24,145,0,0,0,0,0,0,0,0,0,0,0,572,16,6.5,Ohio St.,College Stats
1,15,HOU,Brian Cushing\CushBr99,LB,22,2017,0,1,6,52,52,104,0,0,0,0,0,0,0,0,0,0,0,428,8,13.5,USC,College Stats
1,16,SDG,Larry English\EnglLa99,LB,23,2014,0,0,0,7,7,64,0,0,0,0,0,0,0,0,0,0,0,60,,12.0,Northern Illinois,College Stats
1,17,TAM,Josh Freeman\FreeJo00,QB,21,2015,0,0,4,38,37,62,1179,2048,13873,81,68,205,946,4,0,-3,0,6,,,Kansas St.,College Stats
1,18,DEN,Robert Ayers\AyerRo99,DE,24,2017,0,0,5,27,13,120,0,0,0,0,0,0,0,0,0,0,0,195,,34.5,Tennessee,College Stats
1,19,PHI,Jeremy Maclin\MaclJe00,WR,21,2017,0,0,8,51,34,114,0,1,0,0,0,10,43,0,514,6835,49,17,,,Missouri,College Stats
1,20,DET,Brandon Pettigrew\PettBr00,TE,24,2015,0,0,7,22,22,93,0,0,0,0,0,0,0,0,301,2965,17,8,,,Oklahoma St.,College Stats
1,21,CLE,Alex Mack\MackAl20,C,23,2018,0,5,9,65,35,143,0,0,0,0,0,0,0,0,0,0,0,7,,,California,College Stats
1,22,MIN,Percy Harvin\HarvPe00,WR,21,2016,0,1,5,43,37,75,0,0,0,0,0,146,927,5,353,4026,22,7,,,Florida,College Stats
1,23,BAL,Michael Oher\OherMi20,T,23,2016,0,0,7,43,31,110,0,0,0,0,0,0,0,0,1,-8,0,,,,Mississippi,College Stats
1,24,ATL,Peria Jerry\JerrPe99,DT,25,2013,0,0,2,14,14,64,0,0,0,0,0,0,0,0,0,0,0,51,,5.5,Mississippi,College Stats
1,25,MIA,Vontae Davis\DaviVo99,DB,21,2018,0,2,7,42,11,121,0,0,0,0,0,0,0,0,0,0,0,357,22,2.0,Illinois,College Stats
1,26,GNB,Clay Matthews\MattCl99,LB,23,2018,1,6,8,77,77,137,0,0,0,0,0,0,0,0,0,0,0,357,6,82.5,USC,
1,27,IND,Donald Brown\BrowDo00,RB,22,2015,0,0,1,25,21,88,0,0,0,0,0,695,2829,18,120,1066,2,11,,,Connecticut,College Stats
1,28,BUF,Eric Wood\WoodEr20,C,23,2017,0,1,9,47,47,120,0,0,0,0,0,0,0,0,0,0,0,2,,,Louisville,College Stats
1,29,NYG,Hakeem Nicks\NickHa01,WR,21,2015,0,0,4,40,37,92,0,0,0,0,0,2,8,0,356,5081,31,9,,,North Carolina,College Stats
1,30,TEN,Kenny Britt\BritKe00,WR,20,2017,0,0,4,35,20,116,0,0,0,0,0,2,14,0,329,5137,32,5,,,Rutgers,College Stats
1,31,ARI,Beanie Wells\WellCh00,RB,21,2012,0,0,1,14,14,51,0,0,0,0,0,625,2471,24,28,293,0,3,,,Ohio St.,College Stats
1,32,PIT,Evander Hood\HoodEv99,DE,22,2018,0,0,5,38,27,135,0,0,0,0,0,0,0,0,0,0,0,143,,14.0,Missouri,College Stats
2,33,DET,Louis Delmas\DelmLo99,DB,22,2014,0,0,6,26,23,78,0,0,0,0,0,0,0,0,0,0,0,294,7,6.0,West. Michigan,College Stats
2,34,NWE,Patrick Chung\ChunPa99,DB,22,2018,0,0,9,31,28,134,0,0,0,0,0,0,0,0,0,0,0,453,11,4.5,Oregon,College Stats
2,35,STL,James Laurinaitis\LaurJa99,LB,22,2016,0,0,7,54,52,117,0,0,0,0,0,0,0,0,0,0,0,663,10,16.5,Ohio St.,College Stats
2,36,CLE,Brian Robiskie\RobiBr00,WR,21,2013,0,0,1,3,3,38,0,0,0,0,0,0,0,0,43,485,4,4,,,Ohio St.,College Stats
2,37,DEN,Alphonso Smith\SmitAl98,DB,23,2012,0,0,1,8,1,42,0,0,0,0,0,0,0,0,0,0,0,66,8,,Wake Forest,College Stats
2,38,CIN,Rey Maualuga\MauaRe99,LB,22,2017,0,0,7,48,46,120,0,0,0,0,0,0,0,0,0,0,0,367,7,4.0,USC,College Stats
2,39,JAX,Eben Britton\BritEb20,T,21,2014,0,0,1,17,13,60,0,0,0,0,0,0,0,0,0,0,0,2,,,Arizona,College Stats
2,40,NWE,Ron Brace\BracRo99,DT,22,2012,0,0,0,5,5,39,0,0,0,0,0,0,0,0,0,0,0,24,,,Boston Col.,College Stats
2,41,NWE,Darius Butler\ButlDa99,DB,23,2017,0,0,0,22,5,124,0,0,0,0,0,0,0,0,0,0,0,283,15,,Connecticut,College Stats
2,42,BUF,Jairus Byrd\ByrdJa99,DB,22,2017,0,3,7,40,33,118,0,0,0,0,0,0,0,0,0,0,0,375,25,4.0,Oregon,College Stats
2,43,CAR,Everette Brown\BrowEv99,DE,22,2014,0,0,0,6,5,44,0,0,0,0,0,0,0,0,0,0,0,48,1,7.0,Florida St.,College Stats
2,44,MIA,Pat White\WhitPa01,QB,23,2009,0,0,0,1,1,13,0,5,0,0,0,21,81,0,0,0,0,,,,West Virginia,College Stats
2,45,NYG,Clint Sintim\SintCl99,LB,23,2010,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Virginia,College Stats
2,46,HOU,Connor Barwin\BarwCo99,DE,22,2018,0,1,7,49,16,137,0,0,0,0,0,0,0,0,0,0,0,271,1,56.5,Cincinnati,College Stats
2,47,OAK,Mike Mitchell\MitcMi99,DB,22,2018,0,0,5,32,4,141,0,0,0,0,0,0,0,0,0,0,0,357,11,7.5,Ohio,College Stats
2,48,DEN,Darcel McBath\McBaDa99,DB,23,2012,0,0,0,3,2,37,0,0,0,0,0,0,0,0,0,0,0,30,2,,Texas Tech,College Stats
2,49,SEA,Max Unger\UngeMa20,C,23,2018,1,2,8,61,36,124,0,0,0,0,0,0,0,0,0,0,0,4,,,Oregon,College Stats
2,50,CLE,Mohamed Massaquoi\MassMo00,WR,22,2012,0,0,3,12,12,54,1,1,29,1,0,2,-6,0,118,1745,7,9,,,Georgia,College Stats
