,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,CAR,Cam Newton\NewtCa00,QB,22,2018,1,3,8,95,95,119,2226,3749,27517,178,100,905,4674,58,1,33,0,6,,,Auburn,College Stats
1,2,DEN,Von Miller\MillVo00,LB,22,2018,3,6,8,81,81,114,0,0,0,0,0,0,0,0,0,0,0,343,2,93.5,Texas A&M,College Stats
1,3,BUF,Marcell Dareus\DareMa00,DT,21,2018,1,2,6,49,47,110,0,0,0,0,0,0,0,0,0,0,0,243,,37.0,Alabama,College Stats
1,4,CIN,A.J. Green\GreeA.00,WR,23,2018,0,7,8,64,64,110,0,0,0,0,0,11,93,0,601,8900,63,8,,,Georgia,College Stats
1,5,ARI,Patrick Peterson\PetePa00,DB,21,2018,3,7,8,77,77,122,1,1,17,0,0,7,34,0,10,64,0,341,23,3.0,LSU,College Stats
1,6,ATL,Julio Jones\JoneJu02,WR,22,2018,2,5,7,77,77,105,0,0,0,0,0,16,120,0,658,10212,46,6,,,Alabama,College Stats
1,7,SFO,Aldon Smith\SmitAl04,DE,21,2015,1,1,2,27,25,59,0,0,0,0,0,0,0,0,0,0,0,141,1,47.5,Missouri,College Stats
1,8,TEN,Jake Locker\LockJa00,QB,23,2014,0,0,1,15,15,30,408,709,4967,27,22,95,644,5,0,0,0,2,,,Washington,College Stats
1,9,DAL,Tyron Smith\SmitTy00,T,20,2018,2,5,8,65,65,115,0,0,0,0,0,0,0,0,0,0,0,3,,,USC,College Stats
1,10,JAX,Blaine Gabbert\GabbBl00,QB,21,2018,0,0,3,14,7,52,817,1458,8797,46,45,173,633,3,1,-16,0,1,,,Missouri,College Stats
1,11,HOU,J.J. Watt\WattJ.00,DE,22,2018,4,4,6,84,84,98,0,0,0,0,0,0,0,0,3,4,3,338,1,86.0,Wisconsin,College Stats
1,12,MIN,Christian Ponder\PondCh00,QB,23,2014,0,0,3,22,22,38,632,1057,6658,38,36,126,639,7,1,-15,0,5,,,Florida St.,College Stats
1,13,DET,Nick Fairley\FairNi00,DT,23,2016,0,0,3,24,16,77,0,0,0,0,0,0,0,0,0,0,0,113,,20.5,Auburn,College Stats
1,14,STL,Robert Quinn\QuinRo00,DE,21,2018,1,2,6,46,46,105,0,0,0,0,0,0,0,0,0,0,0,191,,65.0,North Carolina,College Stats
1,15,MIA,Mike Pouncey\PounMi00,G,22,2018,0,3,7,40,40,103,0,0,0,0,0,0,0,0,0,0,0,4,,,Florida,College Stats
1,16,WAS,Ryan Kerrigan\KerrRy00,DE,23,2018,0,3,8,52,52,122,0,0,0,0,0,0,0,0,0,0,0,289,3,78.0,Purdue,College Stats
1,17,NWE,Nate Solder\SoldNa00,T,23,2018,0,0,7,53,53,108,0,0,0,0,0,0,0,0,0,0,0,5,,,Colorado,
1,18,SDG,Corey Liuget\LiugCo00,DT,21,2018,0,0,7,40,40,108,0,0,0,0,0,0,0,0,0,0,0,208,,24.0,Illinois,
1,19,NYG,Prince Amukamara\AmukPr00,DB,22,2018,0,0,7,25,16,92,0,0,0,0,0,0,0,0,0,0,0,352,9,,Nebraska,College Stats
1,20,TAM,Adrian Clayborn\ClayAd00,DE,23,2018,0,0,2,22,13,91,0,0,0,0,0,0,0,0,0,0,0,132,,32.5,Iowa,College Stats
1,21,CLE,Phil Taylor\TaylPh00,DT,23,2014,0,0,2,20,20,44,0,0,0,0,0,0,0,0,0,0,0,69,,7.0,Baylor,College Stats
1,22,IND,Anthony Castonzo\CastAn00,T,23,2018,0,0,8,46,46,110,0,0,0,0,0,0,0,0,1,1,1,3,,,Boston Col.,
1,23,PHI,Danny Watkins\WatkDa00,G,26,2013,0,0,1,9,9,24,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats
1,24,NOR,Cameron Jordan\JordCa00,DE,22,2018,1,3,8,58,58,122,0,0,0,0,0,0,0,0,0,0,0,259,2,65.5,California,College Stats
1,25,SEA,James Carpenter\CarpJa00,T,22,2018,0,0,7,37,19,103,0,0,0,0,0,0,0,0,0,0,0,2,,,Alabama,College Stats
1,26,KAN,Jonathan Baldwin\BaldJo00,WR,22,2013,0,0,0,4,4,33,0,0,0,0,0,0,0,0,44,607,2,2,,,Pittsburgh,College Stats
1,27,BAL,Jimmy Smith\SmitJi03,DB,23,2018,0,0,5,27,27,92,0,0,0,0,0,0,0,0,0,0,0,236,11,1.0,Colorado,College Stats
1,28,NOR,Mark Ingram\IngrMa01,RB,21,2018,0,2,4,46,46,100,0,0,0,0,0,1262,5750,48,218,1548,5,3,,,Alabama,College Stats
