,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,STL,Sam Bradford\BradSa00,QB,22,2018,0,0,5,43,24,83,1855,2967,19449,103,61,146,340,2,1,5,0,2,,,Oklahoma,College Stats
1,2,DET,Ndamukong Suh\SuhxNd99,DT,23,2018,3,5,9,79,58,137,0,0,0,0,0,0,0,0,0,0,0,309,1,55.0,Nebraska,College Stats
1,3,TAM,Gerald McCoy\McCoGe99,DT,22,2018,1,6,8,61,61,117,0,0,0,0,0,0,0,0,0,0,0,210,,52.5,Oklahoma,College Stats
1,4,WAS,Trent Williams\WillTr21,T,22,2018,0,6,9,61,61,114,0,0,0,0,0,0,0,0,0,0,0,8,,,Oklahoma,College Stats
1,5,KAN,Eric Berry\BerrEr99,DB,21,2017,3,5,5,48,48,87,0,0,0,0,0,0,0,0,0,0,0,371,14,5.5,Tennessee,College Stats
1,6,SEA,Russell Okung\OkunRu20,T,22,2018,0,2,9,48,35,112,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma St.,College Stats
1,7,CLE,Joe Haden\HadeJo99,DB,21,2018,0,2,7,43,40,110,0,0,0,0,0,0,0,0,0,0,0,345,21,3.0,Florida,College Stats
1,8,OAK,Rolando McClain\McClRo00,LB,21,2015,0,0,5,26,16,65,0,0,0,0,0,0,0,0,0,0,0,292,4,9.5,Alabama,College Stats
1,9,BUF,C.J. Spiller\SpilC.00,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson,College Stats
1,10,JAX,Tyson Alualu\AluaTy99,DT,23,2018,0,0,6,39,34,135,0,0,0,0,0,1,0,0,2,19,0,211,,21.5,California,College Stats
1,11,SFO,Anthony Davis\DaviAn27,T,20,2016,0,0,4,31,31,72,0,0,0,0,0,0,0,0,0,0,0,2,,,Rutgers,College Stats
1,12,SDG,Ryan Mathews\MathRy00,RB,22,2016,0,1,5,43,36,86,0,0,0,0,0,1184,5261,37,179,1371,3,3,,,Fresno St.,College Stats
1,13,PHI,Brandon Graham\GrahBr99,DE,22,2018,0,0,4,34,34,121,0,0,0,0,0,0,0,0,0,0,0,233,,41.5,Michigan,College Stats
1,14,SEA,Earl Thomas\ThomEa99,DB,21,2018,3,6,8,71,71,125,0,0,0,0,0,0,0,0,0,0,0,479,28,,Texas,College Stats
1,15,NYG,Jason Pierre-Paul\PierJa99,DE,21,2018,1,2,7,53,53,121,0,0,0,0,0,0,0,0,0,0,0,336,2,68.0,South Florida,College Stats
1,16,TEN,Derrick Morgan\MorgDe99,DE,21,2018,0,0,8,36,36,112,0,0,0,0,0,0,0,0,0,0,0,195,,44.0,Georgia Tech,College Stats
1,17,SFO,Mike Iupati\IupaMi20,G,23,2018,1,4,8,58,42,112,0,0,0,0,0,0,0,0,1,10,0,5,,,Idaho,
1,18,PIT,Maurkice Pouncey\PounMa20,C,21,2018,2,6,7,61,61,102,0,0,0,0,0,0,0,0,1,0,0,3,,,Florida,College Stats
1,19,ATL,Sean Weatherspoon\WeatSe99,LB,22,2017,0,0,2,22,22,67,0,0,0,0,0,0,0,0,0,0,0,247,2,8.0,Missouri,College Stats
