,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,KAN,Eric Fisher\FishEr00,T,22,2018,0,0,6,36,36,89,0,0,0,0,0,0,0,0,0,-5,0,2,,,Central Michigan,
1,2,JAX,Luke Joeckel\JoecLu00,T,21,2017,0,0,3,22,17,50,0,0,0,0,0,0,0,0,0,0,0,2,,,Texas A&M,College Stats
1,3,MIA,Dion Jordan\JordDi00,DE,23,2018,0,0,0,4,3,38,0,0,0,0,0,0,0,0,0,0,0,60,,7.5,Oregon,College Stats
1,4,PHI,Lane Johnson\JohnLa01,T,23,2018,1,1,5,34,34,74,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,
1,5,DET,Ezekiel Ansah\AnsaEz00,DE,24,2018,0,1,5,36,36,77,0,0,0,0,0,0,0,0,0,0,0,160,,47.0,BYU,College Stats
1,6,CLE,Barkevious Mingo\MingBa00,LB,22,2018,0,0,2,16,10,88,0,0,0,0,0,0,0,0,0,0,0,130,1,10.0,LSU,College Stats
1,7,ARI,Jonathan Cooper\CoopJo01,G,23,2018,0,0,2,13,6,44,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
1,8,STL,Tavon Austin\AustTa00,WR,23,2018,0,0,4,22,22,81,0,1,0,0,0,190,1293,9,201,1819,14,2,,,West Virginia,College Stats
1,9,NYJ,Dee Milliner\MillDe00,DB,21,2015,0,0,1,6,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,,Alabama,College Stats
1,10,TEN,Chance Warmack\WarmCh00,G,21,2018,0,0,3,21,19,63,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats
1,11,SDG,D.J. Fluker\FlukDJ00,T,22,2018,0,0,5,31,29,75,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,
1,12,OAK,D.J. Hayden\HaydDJ00,DB,23,2018,0,0,1,10,10,65,0,0,0,0,0,0,0,0,0,0,0,211,3,2.5,Houston,College Stats
1,13,NYJ,Sheldon Richardson\RichSh00,DT,22,2018,0,1,5,43,35,83,0,0,0,0,0,4,4,2,0,0,0,184,1,20.5,Missouri,College Stats
1,14,CAR,Star Lotulelei\LotuSt00,DT,23,2018,0,0,5,31,31,86,0,0,0,0,0,0,0,0,0,0,0,93,,11.5,Utah,College Stats
1,15,NOR,Kenny Vaccaro\VaccKe00,DB,22,2018,0,0,6,22,22,75,0,0,0,0,0,0,0,0,0,0,0,308,9,8.5,Texas,College Stats
1,16,BUF,EJ Manuel\ManuEJ00,QB,23,2017,0,0,1,10,10,30,343,590,3767,20,16,96,339,4,0,0,0,2,,,Florida St.,College Stats
1,17,PIT,Jarvis Jones\JoneJa05,LB,23,2016,0,0,2,18,18,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6.0,Georgia,College Stats
1,18,SFO,Eric Reid\ReidEr00,DB,21,2018,0,1,4,26,26,77,0,0,0,0,0,0,0,0,0,0,0,295,11,2.0,LSU,College Stats
1,19,NYG,Justin Pugh\PughJu00,T,23,2018,0,0,5,26,26,70,0,0,0,0,0,0,0,0,0,0,0,4,,,Syracuse,College Stats
1,20,CHI,Kyle Long\LongKy00,G,24,2018,0,3,6,36,36,72,0,0,0,0,0,0,0,0,1,-1,0,4,,,Oregon,
1,21,CIN,Tyler Eifert\EifeTy00,TE,22,2018,0,1,2,13,13,43,0,0,0,0,0,0,0,0,142,1716,21,6,,,Notre Dame,College Stats
1,22,ATL,Desmond Trufant\TrufDe00,DB,22,2018,0,1,6,28,28,82,0,0,0,0,0,0,0,0,0,0,0,239,9,4.0,Washington,College Stats
1,23,MIN,Sharrif Floyd\FloySh00,DT,21,2016,0,0,2,13,13,44,0,0,0,0,0,0,0,0,0,0,0,57,,9.5,Florida,College Stats
1,24,IND,Bjoern Werner\WernBj00,DE,23,2015,0,0,1,10,10,38,0,0,0,0,0,0,0,0,0,0,0,57,,6.5,Florida St.,College Stats
1,25,MIN,Xavier Rhodes\RhodXa00,DB,23,2018,1,2,5,32,32,84,0,0,0,0,0,0,0,0,0,0,0,252,10,,Florida St.,College Stats
1,26,GNB,Datone Jones\JoneDa03,DE,23,2018,0,0,0,10,9,67,0,0,0,0,0,0,0,0,0,0,0,67,1,10.0,UCLA,College Stats
1,27,HOU,DeAndre Hopkins\HopkDe00,WR,21,2018,1,2,6,40,40,89,0,1,0,0,0,1,-7,0,481,6815,44,4,,,Clemson,College Stats
1,28,DEN,Sylvester Williams\WillSy00,DT,24,2018,0,0,4,27,22,83,0,0,0,0,0,0,0,0,0,0,0,85,,5.5,North Carolina,College Stats
1,29,MIN,Cordarrelle Patterson\PattCo00,WR,22,2018,2,2,1,21,18,90,0,0,0,0,0,76,600,7,175,1746,9,,,,Tennessee,College Stats
1,30,STL,Alec Ogletree\OgleAl00,LB,21,2018,0,0,5,38,38,76,0,0,0,0,0,0,0,0,0,0,0,409,8,5.5,Georgia,College Stats
1,31,DAL,Travis Frederick\FredTr00,C,22,2017,1,4,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0,4,,,Wisconsin,College Stats
1,32,BAL,Matt Elam\ElamMa00,DB,22,2016,0,0,2,12,12,41,0,0,0,0,0,0,0,0,0,0,0,88,1,0.5,Florida,College Stats
2,33,JAX,Johnathan Cyprien\CyprJo00,DB,23,2017,0,0,5,24,21,70,0,0,0,0,0,0,0,0,0,0,0,377,2,3.0,Florida International,College Stats
2,34,TEN,Justin Hunter\HuntJu00,WR,22,2018,0,0,1,9,7,59,0,0,0,0,0,0,0,0,85,1349,13,2,,,Tennessee,College Stats
2,35,PHI,Zach Ertz\ErtzZa00,TE,22,2018,0,1,3,28,28,85,0,0,0,0,0,0,0,0,398,4468,26,2,,,Stanford,College Stats
2,36,DET,Darius Slay\SlayDa00,DB,22,2018,1,1,5,28,28,83,0,0,0,0,0,0,0,0,0,0,0,245,16,1.0,Mississippi St.,College Stats
2,37,CIN,Giovani Bernard\BernGi00,RB,21,2018,0,0,1,34,34,77,0,0,0,0,0,726,3066,19,250,2188,8,4,,,North Carolina,College Stats
2,38,SDG,Manti Te'o\TeoxMa00,LB,22,2018,0,0,3,20,14,58,0,0,0,0,0,0,0,0,0,0,0,210,2,1.5,Notre Dame,College Stats
2,39,NYJ,Geno Smith\SmitGe00,QB,22,2018,0,0,2,15,15,37,523,903,6182,29,36,142,656,7,1,13,0,2,,,West Virginia,College Stats
2,40,SFO,Tank Carradine\CarrCo00,DE,23,2018,0,0,0,7,7,45,0,0,0,0,0,0,0,0,0,0,0,55,,5.5,Florida St.,College Stats
2,41,BUF,Robert Woods\WoodRo02,WR,21,2018,0,0,6,26,18,80,0,0,0,0,0,19,145,0,318,4136,21,5,,,USC,College Stats
2,42,OAK,Menelik Watson\WatsMe00,T,24,2017,0,0,1,11,9,34,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
2,43,TAM,Johnthan Banks\BankJo00,DB,23,2017,0,0,2,12,12,57,0,0,0,0,0,0,0,0,0,0,0,121,7,,Mississippi St.,College Stats
2,44,CAR,Kawann Short\ShorKa00,DT,24,2018,0,1,4,33,33,90,0,0,0,0,0,0,0,0,0,0,0,155,,31.5,Purdue,College Stats
