,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,CLE,Myles Garrett\GarrMy00,DE,21,2018,0,0,2,4,4,21,0,0,0,0,0,0,0,0,0,0,0,42,,16.0,Texas A&M,College Stats
1,2,CHI,Mitchell Trubisky\TrubMi00,QB,23,2018,0,0,2,7,7,22,406,651,4662,27,16,92,611,5,0,0,0,,,,North Carolina,College Stats
1,3,SFO,Solomon Thomas\ThomSo00,DE,21,2018,0,0,2,6,6,24,0,0,0,0,0,0,0,0,0,0,0,48,,4.0,Stanford,College Stats
1,4,JAX,Leonard Fournette\FourLe00,RB,22,2018,0,0,1,8,8,17,0,0,0,0,0,340,1259,11,47,423,2,,,,LSU,College Stats
1,5,TEN,Corey Davis\DaviCo03,WR,22,2018,0,0,2,3,3,21,0,0,0,0,0,2,3,0,79,981,2,,,,West. Michigan,College Stats
1,6,NYJ,Jamal Adams\AdamJa00,S,21,2018,0,0,2,7,7,26,0,0,0,0,0,0,0,0,0,0,0,113,1,3.5,LSU,College Stats
1,7,LAC,Mike Williams\WillMi07,WR,22,2018,0,0,0,1,1,20,0,0,0,0,0,4,16,0,31,489,5,,,,Clemson,College Stats
1,8,CAR,Christian McCaffrey\McCaCh01,RB,21,2018,0,0,2,9,9,26,0,0,0,0,0,253,1067,6,140,1147,9,,,,Stanford,College Stats
1,9,CIN,John Ross\RossJo00,WR,22,2018,0,0,1,0,0,10,0,0,0,0,0,2,9,0,11,145,4,,,,Washington,College Stats
1,10,KAN,Patrick Mahomes\MahoPa00,QB,21,2018,0,0,1,1,1,12,286,426,3912,37,11,49,196,2,0,0,0,,,,Texas Tech,College Stats
1,11,NOR,Marshon Lattimore\LattMa01,CB,21,2018,0,1,2,8,8,23,0,0,0,0,0,0,0,0,0,0,0,66,6,,Ohio St.,College Stats
1,12,HOU,Deshaun Watson\WatsDe00,QB,21,2018,0,0,1,7,7,17,327,513,4296,37,17,89,544,3,0,0,0,,,,Clemson,College Stats
1,13,ARI,Haason Reddick\ReddHa00,LB,22,2018,0,0,1,3,3,26,0,0,0,0,0,0,0,0,0,0,0,40,,4.5,Temple,College Stats
1,14,PHI,Derek Barnett\BarnDe01,DE,21,2018,0,0,1,3,3,21,0,0,0,0,0,0,0,0,0,0,0,29,,7.5,Tennessee,College Stats
1,15,IND,Malik Hooker\HookMa00,S,21,2018,0,0,1,2,2,15,0,0,0,0,0,0,0,0,0,0,0,37,4,,Ohio St.,College Stats
1,16,BAL,Marlon Humphrey\HumpMa00,CB,21,2018,0,0,1,3,3,24,0,0,0,0,0,0,0,0,0,0,0,49,2,,Alabama,College Stats
1,17,WAS,Jonathan Allen\AlleJo01,DE,22,2018,0,0,1,2,2,15,0,0,0,0,0,0,0,0,0,0,0,21,,5.0,Alabama,College Stats
1,18,TEN,Adoree' Jackson\JackAd00,CB,21,2018,0,0,2,6,6,26,0,0,0,0,0,5,55,0,0,0,0,103,2,,USC,College Stats
1,19,TAM,O.J. Howard\HowaO.00,TE,22,2018,0,0,2,3,3,24,0,0,0,0,0,0,0,0,60,997,11,,,,Alabama,College Stats
1,20,DEN,Garett Bolles\BollGa00,T,25,2018,0,0,2,6,6,26,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
1,21,DET,Jarrad Davis\DaviJa01,LB,21,2018,0,0,2,7,7,24,0,0,0,0,0,0,0,0,0,0,0,114,1,6.0,Florida,College Stats
1,22,MIA,Charles Harris\HarrCh03,OLB,22,2018,0,0,0,4,4,21,0,0,0,0,0,0,0,0,0,0,0,18,,2.0,Missouri,College Stats
1,23,NYG,Evan Engram\EngrEv00,TE,23,2018,0,0,2,5,5,22,0,0,0,0,0,2,24,0,87,979,8,,,,Mississippi,College Stats
1,24,OAK,Gareon Conley\ConlGa00,CB,22,2018,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,21,2,,Ohio St.,College Stats
1,25,CLE,Jabrill Peppers\PeppJa00,S,21,2018,0,0,2,5,5,23,0,0,0,0,0,0,0,0,0,0,0,75,1,,Michigan,College Stats
1,26,ATL,Takkarist McKinley\McKiTa00,DE,21,2018,0,0,1,2,2,25,0,0,0,0,0,0,0,0,0,0,0,27,,12.0,UCLA,College Stats
1,27,BUF,TreDavious White\WhitTr01,CB,22,2018,0,0,2,5,5,26,0,0,0,0,0,0,0,0,0,0,0,81,5,,LSU,College Stats
1,28,DAL,Taco Charlton\CharTa00,DE,22,2018,0,0,1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,25,,4.0,Michigan,College Stats
1,29,CLE,David Njoku\NjokDa00,TE,21,2018,0,0,1,2,2,26,0,0,0,0,0,1,1,0,68,754,6,,,,Miami (FL),College Stats
1,30,PIT,T.J. Watt\WattT.00,OLB,22,2018,0,0,2,7,7,25,0,0,0,0,0,0,0,0,0,0,0,75,1,17.0,Wisconsin,College Stats
1,31,SFO,Reuben Foster\FostRe00,LB,23,2018,0,0,2,5,5,16,0,0,0,0,0,0,0,0,0,0,0,84,,,Alabama,College Stats
1,32,NOR,Ryan Ramczyk\RamcRy00,T,23,2018,0,0,2,10,10,26,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
2,33,GNB,Kevin King\KingKe01,CB,22,2018,0,0,1,2,2,15,0,0,0,0,0,0,0,0,0,0,0,35,1,,Washington,College Stats
2,34,JAX,Cam Robinson\RobiCa00,T,21,2018,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
2,35,SEA,Malik McDowell\McDoMa00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats
2,36,ARI,Budda Baker\BakeBu00,S,21,2018,1,1,1,9,9,25,0,0,0,0,0,0,0,0,0,0,0,99,,3.0,Washington,College Stats
2,37,BUF,Zay Jones\JoneZa00,WR,22,2018,0,0,2,3,3,25,0,0,0,0,0,1,0,0,64,708,4,,,,East Carolina,College Stats
2,38,LAC,Forrest Lamp\LampFo00,G,23,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,West. Kentucky,College Stats
2,39,NYJ,Marcus Maye\MayeMa00,S,24,2018,0,0,2,6,6,22,0,0,0,0,0,0,0,0,0,0,0,86,3,0.5,Florida,College Stats
2,40,CAR,Curtis Samuel\SamuCu00,WR,21,2018,0,0,0,2,2,16,0,0,0,0,0,8,107,2,32,294,3,5,,,Ohio St.,College Stats
2,41,MIN,Dalvin Cook\CookDa01,RB,22,2018,0,0,0,4,4,9,0,0,0,0,0,129,553,2,27,215,0,,,,Florida St.,College Stats
2,42,NOR,Marcus Williams\WillMa06,S,20,2018,0,0,2,6,6,25,0,0,0,0,0,0,0,0,0,0,0,85,6,,Utah,
2,43,PHI,Sidney Jones\JoneSi00,CB,21,2018,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,18,,,Washington,College Stats
2,44,LAR,Gerald Everett\EverGe00,TE,23,2018,0,0,0,3,3,27,0,0,0,0,0,1,13,0,34,454,5,,,,South Alabama,College Stats
2,45,CHI,Adam Shaheen\ShahAd00,TE,22,2018,0,0,0,1,1,14,0,0,0,0,0,0,0,0,12,127,3,,,,Ashland,
2,46,IND,Quincy Wilson\WilsQu01,CB,21,2018,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,28,2,,Florida,College Stats
2,47,BAL,Tyus Bowser\BowsTy00,OLB,22,2018,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,12,1,3.5,Houston,College Stats
2,48,CIN,Joe Mixon\MixoJo00,RB,21,2018,0,0,1,7,7,22,0,0,0,0,0,306,1210,9,54,464,1,,,,Oklahoma,College Stats
2,49,WAS,Ryan Anderson\AndeRy00,OLB,23,2018,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,16,,2.0,Alabama,College Stats
2,50,TAM,Justin Evans\EvanJu00,S,22,2018,0,0,2,3,3,23,0,0,0,0,0,0,0,0,0,0,0,90,4,,Texas A&M,College Stats
2,51,DEN,DeMarcus Walker\WalkDe03,DE,22,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,9,,1.0,Florida St.,College Stats
2,52,CLE,DeShone Kizer\KizeDe00,QB,21,2018,0,0,1,5,5,16,259,483,2949,11,23,77,419,5,0,0,0,,,,Notre Dame,College Stats
2,53,DET,Teez Tabor\TaboTe00,CB,21,2018,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,27,,,Florida,College Stats
2,54,MIA,Raekwon McMillan\McMiRa02,LB,21,2018,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40,,,Ohio St.,College Stats
2,55,NYG,Dalvin Tomlinson\TomlDa00,DT,23,2018,0,0,2,7,7,26,0,0,0,0,0,0,0,0,0,0,0,44,,1.0,Alabama,College Stats
2,56,OAK,Obi Melifonwu\MeliOb00,S,23,2017,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,,,Connecticut,College Stats
2,57,HOU,Zach Cunningham\CunnZa00,LB,22,2018,0,0,2,5,5,24,0,0,0,0,0,0,0,0,0,0,0,91,,1.5,Vanderbilt,College Stats
2,58,SEA,Ethan Pocic\PociEt00,C,22,2018,0,0,0,5,5,21,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
2,59,KAN,Tanoh Kpassagnon\KpasTa00,DE,23,2018,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,10,,2.0,Villanova,
2,60,DAL,Chidobe Awuzie\AwuzCh00,CB,22,2018,0,0,1,3,3,20,0,0,0,0,0,0,0,0,0,0,0,55,1,,Colorado,College Stats
2,61,GNB,Josh Jones\JoneJo06,S,22,2018,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,71,1,2.0,North Carolina St.,College Stats
2,62,PIT,JuJu Smith-Schuster\SmitJu00,WR,20,2018,0,0,1,10,10,24,0,0,0,0,0,1,13,0,122,1783,10,,,,USC,College Stats
2,63,BUF,Dion Dawkins\DawkDi00,G,23,2018,0,0,2,5,5,26,0,0,0,0,0,0,0,0,1,7,1,,,,Temple,College Stats
2,64,CAR,Taylor Moton\MotoTa00,G,23,2018,0,0,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,College Stats
3,65,CLE,Larry Ogunjobi\OgunLa00,DT,23,2018,0,0,1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,40,,5.5,Charlotte,College Stats
3,66,SFO,Ahkello Witherspoon\WithAh00,CB,22,2018,0,0,2,3,3,22,0,0,0,0,0,0,0,0,0,0,0,49,2,,Colorado,College Stats
3,67,NOR,Alvin Kamara\KamaAl00,RB,22,2018,0,1,1,15,15,26,0,0,0,0,0,256,1345,19,137,1336,9,,,,Tennessee,College Stats
3,68,JAX,Dawuane Smoot\SmooDa00,DE,22,2018,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,12,,,Illinois,College Stats
3,69,LAR,Cooper Kupp\KuppCo00,WR,24,2018,0,0,1,9,9,23,0,1,0,0,0,4,25,0,102,1435,11,,,,East. Washington,
3,70,MIN,Pat Elflein\ElflPa00,C,23,2018,0,0,2,8,8,22,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
3,71,LAC,Dan Feeney\FeenDa00,G,23,2018,0,0,2,5,5,25,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
3,72,TEN,Taywan Taylor\TaylTa00,WR,22,2018,0,0,0,2,2,24,0,0,0,0,0,8,43,0,37,445,2,,,,West. Kentucky,College Stats
3,73,CIN,Jordan Willis\WillJo09,OLB,22,2018,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,24,,1.0,Kansas St.,College Stats
3,74,BAL,Chris Wormley\WormCh00,DE,23,2018,0,0,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,15,,1.0,Michigan,College Stats
3,75,ATL,Duke Riley\RileDu00,LB,23,2018,0,0,1,3,3,22,0,0,0,0,0,0,0,0,0,0,0,45,,,LSU,College Stats
3,76,NOR,Alex Anzalone\AnzaAl00,LB,22,2018,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,34,1,2.0,Florida,College Stats
3,77,CAR,Daeshon Hall\HallDa01,DE,22,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
3,78,BAL,Tim Williams\WillTi00,OLB,23,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,11,,2.0,Alabama,College Stats
3,79,NYJ,ArDarius Stewart\StewAr00,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama,College Stats
3,80,IND,Tarell Basham\BashTa00,DE,23,2018,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,9,,2.0,Ohio,College Stats
